stock_code,date_start,date_end,score,c1,c2,c3,股票名称,地区,行业,市场类型,上市状态,上市日期,是否沪深港通标的,企业性质,同花顺链接
002527.SZ,2026-03-05,2026-03-09,-0.5583449684761191,14.98,15.14,14.98,新时达,上海,电器仪表,主板,L,2010-12-24 00:00:00,S,集体企业,https://stockpage.10jqka.com.cn/002527/
300333.SZ,2026-03-05,2026-03-09,-0.5590148351823939,10.13,10.25,10.14,兆日科技,深圳,IT设备,创业板,L,2012-06-28 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300333/
000630.SZ,2025-12-30,2026-01-05,-0.5598179223989665,5.8,6.01,5.82,铜陵有色,安徽,铜,主板,L,1996-11-20 00:00:00,S,地方国有企业,https://stockpage.10jqka.com.cn/000630/
300906.SZ,2025-12-22,2025-12-24,-0.5606112640209614,38.17,39.0,38.23,日月明,江西,运输设备,创业板,L,2020-11-05 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300906/
920017.BJ,2026-03-05,2026-03-09,-0.5610096628404191,18.15,18.39,18.13,星昊医药,北京,化学制药,北交所,L,2023-05-31 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/920017/
301320.SZ,2026-01-21,2026-01-23,-0.5615568994187033,18.5,18.75,18.5,豪江智能,山东,电气设备,创业板,L,2023-06-09 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301320/
600792.SH,2026-02-04,2026-02-06,-0.5620480576908311,4.64,4.83,4.66,云煤能源,云南,焦炭加工,主板,L,1997-01-23 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/600792/
300197.SZ,2026-03-05,2026-03-09,-0.5622174222429258,1.87,1.89,1.87,节能铁汉,深圳,环境保护,创业板,L,2011-03-29 00:00:00,S,中央企业,https://stockpage.10jqka.com.cn/300197/
603721.SH,2026-02-26,2026-03-02,-0.5643204341483765,21.91,22.22,21.94,*ST天择,湖南,影视音像,主板,L,2017-08-11 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/603721/
002524.SZ,2026-01-26,2026-01-28,-0.5665041076626783,5.05,5.56,5.08,光正眼科,新疆,医疗保健,主板,L,2010-12-17 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/002524/
603297.SH,2026-02-26,2026-03-02,-0.5679158084071014,126.1,128.95,126.36,永新光学,浙江,元器件,主板,L,2018-09-10 00:00:00,H,外资,https://stockpage.10jqka.com.cn/603297/
603203.SH,2026-03-05,2026-03-09,-0.5680886553743232,39.91,40.55,39.9,快克智能,江苏,专用机械,主板,L,2016-11-08 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/603203/
301315.SZ,2026-02-04,2026-02-06,-0.5683392802235807,60.98,62.2,61.06,威士顿,上海,软件服务,创业板,L,2023-06-21 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301315/
600678.SH,2026-01-06,2026-01-08,-0.5702291866701704,14.48,14.68,14.48,四川金顶,四川,水泥,主板,L,1993-10-08 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/600678/
301022.SZ,2026-03-05,2026-03-09,-0.5708014110897673,31.62,31.96,31.62,海泰科,山东,专用机械,创业板,L,2021-07-02 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301022/
600481.SH,2026-01-28,2026-01-30,-0.5712145562509142,8.89,9.26,8.89,双良节能,江苏,电气设备,主板,L,2003-04-22 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/600481/
000551.SZ,2026-03-05,2026-03-09,-0.5737526311170806,14.37,14.57,14.38,创元科技,江苏,专用机械,主板,L,1994-01-06 00:00:00,S,地方国有企业,https://stockpage.10jqka.com.cn/000551/
600236.SH,2026-03-04,2026-03-06,-0.5740948885027698,10.85,11.62,10.95,桂冠电力,广西,水力发电,主板,L,2000-03-23 00:00:00,H,中央企业,https://stockpage.10jqka.com.cn/600236/
002419.SZ,2025-12-18,2025-12-22,-0.5744441070810352,5.92,6.0,5.92,天虹股份,深圳,百货,主板,L,2010-06-01 00:00:00,S,中央企业,https://stockpage.10jqka.com.cn/002419/
