形态,stock_code,date_start,date_end,score,c1,c2,c3,股票名称,地区,行业,市场类型,上市状态,上市日期,是否沪深港通标的,企业性质,同花顺链接
品字形,301302.SZ,2026-03-06,2026-03-10,-0.6057488833905201,33.0,33.68,32.99,华如科技,北京,软件服务,创业板,L,2022-06-23 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301302/
品字形,002766.SZ,2026-01-12,2026-01-14,-0.6057569775239816,7.03,7.15,7.0,索菱股份,深圳,汽车配件,主板,L,2015-06-11 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002766/
品字形,001366.SZ,2026-02-06,2026-02-10,-0.6071400469813235,14.89,15.38,14.99,播恩集团,江西,饲料,主板,L,2023-03-07 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/001366/
品字形,300249.SZ,2026-02-12,2026-02-24,-0.607548246910935,17.77,17.95,17.8,依米康,四川,IT设备,创业板,L,2011-08-03 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300249/
品字形,688160.SH,2025-12-30,2026-01-05,-0.6087458808564764,145.99,152.5,147.0,步科股份,上海,电器仪表,科创板,L,2020-11-12 00:00:00,H,自然人,https://stockpage.10jqka.com.cn/688160/
品字形,301636.SZ,2026-02-06,2026-02-10,-0.6088683678036615,103.89,107.88,104.6,泽润新能,江苏,电气设备,创业板,L,2025-05-16 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301636/
品字形,002756.SZ,2025-12-23,2025-12-25,-0.6096302829283047,50.54,51.93,50.46,永兴材料,浙江,小金属,主板,L,2015-05-15 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002756/
品字形,002253.SZ,2026-03-05,2026-03-09,-0.6108273765681091,10.44,10.65,10.47,*ST智胜,四川,软件服务,主板,L,2008-06-23 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/002253/
品字形,300193.SZ,2026-03-05,2026-03-09,-0.6114355441205065,9.78,9.9,9.76,佳士科技,深圳,专用机械,创业板,L,2011-03-22 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300193/
品字形,300959.SZ,2026-03-05,2026-03-09,-0.6124240200658084,81.98,82.9,81.76,线上线下,江苏,电信运营,创业板,L,2021-03-22 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300959/
品字形,603220.SH,2026-02-26,2026-03-02,-0.6126757982132829,27.1,27.8,27.01,中贝通信,湖北,通信设备,主板,L,2018-11-15 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/603220/
品字形,300769.SZ,2025-12-23,2025-12-25,-0.6141722188452702,44.34,44.89,44.45,德方纳米,深圳,化工原料,创业板,L,2019-04-15 00:00:00,S,其他,https://stockpage.10jqka.com.cn/300769/
品字形,002243.SZ,2026-01-05,2026-01-07,-0.6152798913187902,10.75,10.86,10.74,力合科创,深圳,广告包装,主板,L,2008-05-28 00:00:00,S,地方国有企业,https://stockpage.10jqka.com.cn/002243/
品字形,688981.SH,2026-02-09,2026-02-11,-0.6160560565169629,114.93,116.2,115.01,中芯国际,上海,半导体,科创板,L,2020-07-16 00:00:00,H,其他,https://stockpage.10jqka.com.cn/688981/
品字形,300808.SZ,2026-01-26,2026-01-28,-0.6161747974855224,31.94,32.75,32.13,久量股份,湖北,家用电器,创业板,L,2019-11-29 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/300808/
品字形,301380.SZ,2026-01-07,2026-01-09,-0.6162247790629878,39.5,40.5,39.72,挖金客,北京,软件服务,创业板,L,2022-10-25 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301380/
